# https://www.data.go.kr/data/15013205/standard.do

역사명	한자역사명
종로3가	鍾路3街
을지로3가	乙支路3街
충무로	忠武路
동대입구	東大入口
약수	藥水
금호	金湖
옥수	玉水
압구정	狎鷗亭
신사	新沙
잠원	蠶院
고속터미널	高速巴士客運
답십리	踏十里
교대	敎大
남부터미널	南部巴士客運
양재	良才
매봉	梅峰
도곡	道谷
대치	大峙
학여울	Hangnyeoul
대청	大廳
일원	逸院
수서	水西
가락시장	可樂市場
경찰병원	警察病院
오금	梧琴
당고개	堂嶺
상계	上溪
노원	蘆原
창동	倉洞
쌍문	雙門
수유	水逾
미아	彌阿
미아사거리	彌阿十字路口
길음	吉音
성신여대입구	誠信女大入口
한성대입구	漢城大入口
혜화	惠化
동대문	東大門
동대문역사문화공원	東大門歷史文化公園
충무로	忠武路
명동	明洞
회현	會賢
서울역	首爾站
숙대입구	淑大入口
삼각지	三角地
신용산	新龍山
이촌	二村
동작	銅雀
총신대입구	總神大入口
사당	舍堂
남태령	南泰嶺
방화	傍花
개화산	開花山
김포공항	金浦空港
송정	松亭
마곡	麻谷
발산	鉢山
우장산	雨裝山
화곡	禾谷
까치산	喜鵲山
신정	新亭
목동	木洞
오목교	梧木橋
양평	楊坪
영등포구청	永登浦區廳
영등포시장	永登浦市場
신길	新吉
여의도	汝矣島
여의나루	汝矣渡口
마포	麻浦
공덕	孔德
애오개	兒嶺
충정로	忠正路
서대문	西大門
광화문	光化門
종로3가	鍾路三街
을지로4가	乙支路四街
동대문역사문화공원	東大門歷史文化公園
청구	靑丘
신금호	新金湖
행당	杏堂
왕십리	往十里
마장	馬場
장한평	長漢坪
군자	君子
아차산	峨嵯山
광나루	廣渡口
천호	千戶
강동	江東
길동	吉洞
굽은다리	曲橋
명일	明逸
고덕	高德
상일동	上一洞
둔촌동	遁村洞
올림픽공원	Olympic Park
방이	芳荑
오금	梧琴
개롱	開籠
거여	巨余
마천	馬川
응암	鷹岩
역촌	驛村
불광	佛光
독바위	瓮岩
연신내	延臣川
구산	龜山
새절	Saejeol
증산	繒山
디지털미디어시티	數碼媒體城
월드컵경기장	世界杯競技場
마포구청	麻浦區廳
망원	望遠
합정	合井
상수	上水
광흥창	廣興倉
대흥	大興
공덕	孔德
효창공원앞	孝昌公園
삼각지	三角地
녹사평	綠莎坪
이태원	梨泰院
한강진	漢江鎭
버티고개	波堤通
약수	藥水
청구	靑丘
신당	新堂
동묘앞	東廟
창신	昌信
보문	普門
안암	安岩
고려대	高麗大
월곡	月谷
상월곡	上月谷
돌곶이	多爾谷齊
석계	石溪
태릉입구	泰陵
화랑대	花郞臺
봉화산	烽火山
신내	新內
장암	長岩
도봉산	道峰山
수락산	水落山
마들	馬得
노원	蘆原
중계	中溪
하계	下溪
공릉	孔陵
태릉입구	泰陵
먹골	墨谷
중화	中和
상봉	上鳳
면목	面牧
사가정	四佳亭
용마산	龍馬山
중곡	中谷
군자	君子
어린이대공원	兒童大公園
건대입구	建大入口
뚝섬유원지	
청담	淸潭
강남구청	江南區廳
학동	鶴洞
논현	論峴
반포	盤浦
고속터미널	高速巴士客運
내방	內方
이수	梨水
남성	南城
숭실대입구	崇實大入口
상도	上道
장승배기	長丞拜基
신대방삼거리	新大方丁字路口
보라매	波拉梅
신풍	新豊
대림	大林
남구로	南九老
가산디지털단지	加山數碼團地
철산	鐵山
광명사거리	光明十字路口
천왕	天旺
온수	溫水
까치울	鵲洞
부천종합운동장	富川綜合運動場
춘의	春衣
신중동	新中洞
부천시청	富川市廳
상동	上洞
삼산체육관	三山體育館
굴포천	掘浦川
부평구청	富平區廳
암사	岩寺
천호	千戶
강동구청	江東區廳
몽촌토성	夢村土城
잠실	蠶室
석촌	石村
송파	松坡
가락시장	可樂市場
문정	文井
장지	長旨
복정	福井
산성	山城
남한산성입구	南漢山城入口
단대오거리	Dandaeogeori
신흥	新興
수진	壽進
모란	牡丹
언주	彦州
선정릉	宣靖陵
삼성중앙	三成中央
봉은사	奉恩寺
종합운동장	綜合運動場
삼전	三 田
석촌고분	石村古墳
석촌	石村
송파나루	松坡나루
한성백제	漢城百?
올림픽공원	올림픽公園(韓國體大)
둔촌오륜	遁村五輪
중앙보훈병원	中央報?病院
