鹏	鵬
秘	祕
痹	痺
扉	屝
备	備
惫	憊
痱	疿
箅	箄
纰	紕
绯	緋
罴	羆
诽	誹
费	費
辔	轡
镄	鐨
飞	飛
鲱	鯡
傧	儐
苹	蘋
嫔	嬪
宾	賓
摈	擯
槟	檳
殡	殯
滨	濱
濒	瀕
缤	繽
膑	臏
贫	貧
镔	鑌
频	頻
颦	顰
髌	髕
鬓	鬢
凭	憑
骋	騁
舍	捨
蓑	簑
丝	絲
写	寫
厍	厙
隳	皻
师	師
泻	瀉
狮	獅
筛	篩
纱	紗
蛳	螄
诈	詐
词	詞
谢	謝
赊	賒
赐	賜
辞	辭
铊	鉈
饲	飼
驶	駛
驷	駟
鲨	鯊
鸶	鷥
烁	爍
铄	鑠
酸	痠
产	產
伞	傘
删	刪
姗	姍
讪	訕
铲	剷
铲	鏟
闩	閂
杀	殺
萨	薩
渗	滲
毵	毿
糁	糝
钐	釤
涩	澀
锸	鍤
飒	颯
丧	喪
伤	傷
偿	償
厢	廂
尝	嘗
殇	殤
状	狀
缃	緗
觞	觴
详	詳
赏	賞
颡	顙
玺	璽
赛	賽
鳃	鰓
啬	嗇
穑	穡
赜	賾
铯	銫
栖	棲
书	書
叙	敘
屿	嶼
纾	紓
绪	緒
锄	鋤
泻	潟
硕	碩
释	釋
锡	錫
亘	亙
旋	鏇
婵	嬋
猕	獮
癣	癬
禅	禪
籼	秈
线	線
缮	繕
羡	羨
藓	蘚
蝉	蟬
诜	詵
跹	躚
选	選
铣	銑
镟	鏇
骟	騸
鲜	鮮
鳝	鱔
泄	洩
曳	抴
亵	褻
啮	齧
绁	紲
设	設
说	說
鳕	鱈
掺	摻
歼	殲
窍	纖
纤	纖
谵	譫
赡	贍
闪	閃
陕	陝
嗫	囁
慑	懾
摄	攝
滠	灄
聂	聶
蹑	躡
镊	鑷
颞	顳
圣	聖
声	聲
诚	誠
铖	鋮
势	勢
岁	歲
税	稅
细	細
贳	貰
筱	篠
啸	嘯
扫	掃
潇	瀟
烧	燒
稣	穌
箫	簫
绍	紹
缫	繅
苏	甦
苏	蘇
苏	囌
萧	蕭
诉	訴
销	銷
骚	騷
属	屬
续	續
谡	謖
赎	贖
孙	孫
损	損
狲	猻
荪	蓀
逊	遜
松	鬆
讼	訟
诵	誦
锶	鍶
颂	頌
洒	灑
唢	嗩
晒	曬
琐	瑣
铩	鎩
锁	鎖
钊	釗
修	脩
兽	獸
寿	壽
帅	帥
擞	擻
数	數
树	樹
竖	豎
绣	繡
绥	綏
绶	綬
薮	藪
虽	雖
谁	誰
谇	誶
输	輸
铢	銖
锈	銹
锈	鏽
锼	鎪
随	隨
雠	讎
须	須
须	鬚
飕	颼
馊	餿
馐	饈
肃	肅
唇	脣
笋	筍
纯	純
询	詢
谆	諄
顺	順
驯	馴
鹑	鶉
恤	卹
术	術
习	習
湿	濕
湿	溼
袭	襲
绳	繩
胜	勝
蝇	蠅
厮	廝
弑	弒
埘	塒
时	時
缌	緦
莳	蒔
视	視
试	試
诗	詩
酾	釃
铈	鈰
鲥	鰣
蚀	蝕
识	識
轼	軾
饰	飾
烬	燼
绅	紳
肾	腎
荩	藎
讯	訊
赆	贐
实	實
沈	瀋
婶	嬸
审	審
寻	尋
浔	潯
渖	瀋
谂	諗
谌	諶
镡	鐔
鲟	鱘
双	雙
亚	亞
儿	兒
哑	啞
娅	婭
桠	椏
氩	氬
讶	訝
钶	鈳
锕	錒
饿	餓
鸦	鴉
鹅	鵝
岳	嶽
乐	樂
垩	堊
恶	惡
谔	諤
锷	鍔
颚	顎
鳄	鱷
鹗	鶚
龌	齷
赝	贗
铵	銨
顸	頇
颜	顏
讦	訐
谒	謁
轧	軋
阏	閼
岩	巖
庵	菴
岩	嵒
谙	諳
鹌	鵪
压	壓
鸭	鴨
鸯	鴦
碍	礙
嗳	噯
嫒	嬡
暧	曖
爱	愛
瑷	璦
皑	皚
蔼	藹
阂	閡
霭	靄
厄	阨
缢	縊
轭	軛
额	額
嘤	嚶
樱	櫻
罂	罌
莺	鶯
鹦	鸚
爷	爺
龠	籥
哟	喲
约	約
